Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN1,E,7,6.8,7.8,20,-64.2908554955625,-51.8995122945625,-12.391343200999998,16
HORN1,E,7,6.8,7.8,30,-65.84378651716875,-51.8995122945625,-13.944274222606253,16
HORN1,E,7,6.8,7.8,40,-67.99007146753124,-51.8995122945625,-16.09055917296874,16
HORN1,E,7,6.8,7.8,50,-74.25819344621249,-51.8995122945625,-22.35868115164999,16
HORN1,E,7,6.8,7.8,60,-76.58494507581874,-51.8995122945625,-24.68543278125624,16
HORN1,E,7,6.8,7.8,70,-76.00906225164375,-51.8995122945625,-24.109549957081256,16
HORN1,E,7,6.8,7.8,80,-74.9794556553625,-51.8995122945625,-23.0799433608,16
HORN1,E,7,6.8,7.8,90,-77.4655078521875,-51.8995122945625,-25.565995557625,16
HORN1,E,7,6.8,7.8,100,-79.59138661727499,-51.8995122945625,-27.691874322712493,16
HORN1,E,7,6.8,7.8,110,-77.82377703398124,-51.8995122945625,-25.924264739418746,16
HORN1,E,7,6.8,7.8,120,-77.69976090105,-51.8995122945625,-25.8002486064875,16
HORN1,E,7,6.8,7.8,130,-80.2855460406875,-51.8995122945625,-28.38603374612501,16
HORN1,E,7,6.8,7.8,140,-79.7529959771125,-51.8995122945625,-27.853483682550007,16
HORN1,E,7,6.8,7.8,150,-81.9087776094625,-51.8995122945625,-30.009265314900006,16
HORN1,E,7,6.8,7.8,160,-78.8382851314125,-51.8995122945625,-26.938772836850006,16
HORN1,E,7,6.8,7.8,170,-78.71639014263125,-51.8995122945625,-26.816877848068756,16
HORN1,E,7,6.8,7.8,180,-75.9760947213625,-51.8995122945625,-24.0765824268,16
HORN2,E,7,6.8,7.8,0,-57.7331903416,-57.7331903416,0.0,16
HORN2,E,7,6.8,7.8,10,-60.464030753431246,-57.7331903416,-2.7308404118312453,16
HORN2,E,7,6.8,7.8,20,-66.8964666227375,-57.7331903416,-9.163276281137506,16
HORN2,E,7,6.8,7.8,30,-70.79677115361875,-57.7331903416,-13.063580812018749,16
HORN2,E,7,6.8,7.8,40,-72.23736675749375,-57.7331903416,-14.504176415893745,16
HORN2,E,7,6.8,7.8,50,-78.18481352535,-57.7331903416,-20.451623183749994,16
HORN2,E,7,6.8,7.8,60,-81.36088083885,-57.7331903416,-23.627690497249993,16
HORN2,E,7,6.8,7.8,70,-79.99940862548125,-57.7331903416,-22.26621828388125,16
HORN2,E,7,6.8,7.8,80,-82.59003767574376,-57.7331903416,-24.856847334143758,16
HORN2,E,7,6.8,7.8,90,-81.3199129772625,-57.7331903416,-23.586722635662504,16
HORN2,E,7,6.8,7.8,100,-74.37152575038125,-57.7331903416,-16.638335408781252,16
HORN2,E,7,6.8,7.8,110,-72.3287854204625,-57.7331903416,-14.595595078862495,16
HORN2,E,7,6.8,7.8,120,-73.08560403749999,-57.7331903416,-15.35241369589999,16
HORN2,E,7,6.8,7.8,130,-76.54841506766874,-57.7331903416,-18.81522472606874,16
HORN2,E,7,6.8,7.8,140,-74.99860649130625,-57.7331903416,-17.265416149706247,16
HORN2,E,7,6.8,7.8,150,-81.27133387553125,-57.7331903416,-23.538143533931255,16
HORN2,E,7,6.8,7.8,160,-81.032921460325,-57.7331903416,-23.299731118725,16
HORN2,E,7,6.8,7.8,170,-81.3410876959875,-57.7331903416,-23.607897354387497,16
HORN2,E,7,6.8,7.8,180,-75.97097008569375,-57.7331903416,-18.23777974409375,16
HORN3,E,7,6.8,7.8,0,-57.07280936196875,-57.07280936196875,0.0,16
HORN3,E,7,6.8,7.8,10,-59.730299667699995,-57.07280936196875,-2.657490305731244,16
HORN3,E,7,6.8,7.8,20,-67.26747030825001,-57.07280936196875,-10.19466094628126,16
HORN3,E,7,6.8,7.8,30,-70.46725872114999,-57.07280936196875,-13.394449359181237,16
HORN3,E,7,6.8,7.8,40,-71.73140426832501,-57.07280936196875,-14.658594906356257,16
HORN3,E,7,6.8,7.8,50,-78.01941457008749,-57.07280936196875,-20.94660520811874,16
HORN3,E,7,6.8,7.8,60,-83.60359933100625,-57.07280936196875,-26.5307899690375,16
HORN3,E,7,6.8,7.8,70,-81.64918585443125,-57.07280936196875,-24.5763764924625,16
HORN3,E,7,6.8,7.8,80,-79.6224022847625,-57.07280936196875,-22.54959292279375,16
HORN3,E,7,6.8,7.8,90,-85.86449926350625,-57.07280936196875,-28.791689901537495,16
HORN3,E,7,6.8,7.8,100,-84.907522956375,-57.07280936196875,-27.834713594406253,16
HORN3,E,7,6.8,7.8,110,-83.87859394707499,-57.07280936196875,-26.805784585106238,16
HORN3,E,7,6.8,7.8,120,-82.10722349792499,-57.07280936196875,-25.03441413595624,16
HORN3,E,7,6.8,7.8,130,-84.93800638699375,-57.07280936196875,-27.865197025024997,16
HORN3,E,7,6.8,7.8,140,-85.59996651323125,-57.07280936196875,-28.5271571512625,16
HORN3,E,7,6.8,7.8,150,-85.49790666058125,-57.07280936196875,-28.4250972986125,16
HORN3,E,7,6.8,7.8,160,-85.901853999575,-57.07280936196875,-28.829044637606245,16
HORN3,E,7,6.8,7.8,170,-85.33110317763749,-57.07280936196875,-28.258293815668736,16
HORN3,E,7,6.8,7.8,180,-81.2130761557125,-57.07280936196875,-24.14026679374375,16
HORN4,E,7,6.8,7.8,0,-59.39351736038125,-59.39351736038125,0.0,16
HORN4,E,7,6.8,7.8,10,-61.802154580212495,-59.39351736038125,-2.408637219831242,16
HORN4,E,7,6.8,7.8,20,-69.313529032,-59.39351736038125,-9.920011671618752,16
HORN4,E,7,6.8,7.8,30,-72.3435934638875,-59.39351736038125,-12.950076103506248,16
HORN4,E,7,6.8,7.8,40,-72.94201337728126,-59.39351736038125,-13.548496016900003,16
HORN4,E,7,6.8,7.8,50,-81.06522990656251,-59.39351736038125,-21.671712546181254,16
HORN4,E,7,6.8,7.8,60,-82.08523480339375,-59.39351736038125,-22.691717443012493,16
HORN4,E,7,6.8,7.8,70,-81.41296388736875,-59.39351736038125,-22.019446526987494,16
HORN4,E,7,6.8,7.8,80,-82.76419128465625,-59.39351736038125,-23.370673924274996,16
HORN4,E,7,6.8,7.8,90,-84.44927725086876,-59.39351736038125,-25.055759890487508,16
HORN4,E,7,6.8,7.8,100,-86.0146783988875,-59.39351736038125,-26.621161038506244,16
HORN4,E,7,6.8,7.8,110,-86.91851573154375,-59.39351736038125,-27.524998371162496,16
HORN4,E,7,6.8,7.8,120,-80.5857707394,-59.39351736038125,-21.19225337901875,16
HORN4,E,7,6.8,7.8,130,-83.5865152992875,-59.39351736038125,-24.192997938906245,16
HORN4,E,7,6.8,7.8,140,-82.59664875049376,-59.39351736038125,-23.203131390112503,16
HORN4,E,7,6.8,7.8,150,-85.72297611773126,-59.39351736038125,-26.32945875735001,16
HORN4,E,7,6.8,7.8,160,-89.14774192990001,-59.39351736038125,-29.754224569518755,16
HORN4,E,7,6.8,7.8,170,-84.9700294351125,-59.39351736038125,-25.57651207473124,16
HORN4,E,7,6.8,7.8,180,-84.3518825600375,-59.39351736038125,-24.958365199656242,16
HORN5,E,7,6.8,7.8,0,-58.72156279198125,-58.72156279198125,0.0,16
HORN5,E,7,6.8,7.8,10,-61.598588317099995,-58.72156279198125,-2.8770255251187464,16
HORN5,E,7,6.8,7.8,20,-68.2662347973375,-58.72156279198125,-9.544672005356254,16
HORN5,E,7,6.8,7.8,30,-70.790917373025,-58.72156279198125,-12.069354581043747,16
HORN5,E,7,6.8,7.8,40,-73.30208659319999,-58.72156279198125,-14.580523801218739,16
HORN5,E,7,6.8,7.8,50,-82.2228883624125,-58.72156279198125,-23.501325570431256,16
HORN5,E,7,6.8,7.8,60,-82.16589044849374,-58.72156279198125,-23.444327656512492,16
HORN5,E,7,6.8,7.8,70,-82.84301462639375,-58.72156279198125,-24.121451834412504,16
HORN5,E,7,6.8,7.8,80,-83.98915796886875,-58.72156279198125,-25.267595176887504,16
HORN5,E,7,6.8,7.8,90,-83.04114317612499,-58.72156279198125,-24.31958038414374,16
HORN5,E,7,6.8,7.8,100,-80.5913815862625,-58.72156279198125,-21.86981879428125,16
HORN5,E,7,6.8,7.8,110,-79.91980860127501,-58.72156279198125,-21.19824580929376,16
