Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN5,H,6,5.8,6.8,90,-77.86995603727334,-60.63625452456668,-17.23370151270666,15
HORN5,H,6,5.8,6.8,100,-79.88911278379334,-60.63625452456668,-19.252858259226656,15
HORN5,H,6,5.8,6.8,110,-84.51517918121334,-60.63625452456668,-23.87892465664666,15
HORN5,H,6,5.8,6.8,120,-85.38093945507998,-60.63625452456668,-24.7446849305133,15
HORN5,H,6,5.8,6.8,130,-86.75951344994665,-60.63625452456668,-26.12325892537997,15
HORN5,H,6,5.8,6.8,140,-85.26360942278,-60.63625452456668,-24.627354898213312,15
HORN5,H,6,5.8,6.8,150,-84.43130559792667,-60.63625452456668,-23.795051073359986,15
HORN5,H,6,5.8,6.8,160,-85.15949079130668,-60.63625452456668,-24.52323626674,15
HORN5,H,6,5.8,6.8,170,-84.41108614540667,-60.63625452456668,-23.77483162083999,15
HORN5,H,6,5.8,6.8,180,-84.66681172911998,-60.63625452456668,-24.030557204553304,15
HORN6,H,6,5.8,6.8,0,-62.41639078196666,-62.41639078196666,0.0,15
HORN6,H,6,5.8,6.8,10,-62.675136214986665,-62.41639078196666,-0.2587454330200032,15
HORN6,H,6,5.8,6.8,20,-63.932032904846665,-62.41639078196666,-1.5156421228800028,15
HORN6,H,6,5.8,6.8,30,-65.25471607388,-62.41639078196666,-2.8383252919133426,15
HORN6,H,6,5.8,6.8,40,-67.52082152259334,-62.41639078196666,-5.104430740626675,15
HORN6,H,6,5.8,6.8,50,-69.56217212184667,-62.41639078196666,-7.14578133988001,15
HORN6,H,6,5.8,6.8,60,-72.60711472662,-62.41639078196666,-10.190723944653335,15
HORN6,H,6,5.8,6.8,70,-74.15156734541333,-62.41639078196666,-11.735176563446664,15
HORN6,H,6,5.8,6.8,80,-78.68727720208001,-62.41639078196666,-16.27088642011335,15
HORN6,H,6,5.8,6.8,90,-78.11524013761999,-62.41639078196666,-15.69884935565333,15
