Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
E,15,14.8,15.8,80,-21.762980297408596,3.1085768361528032,8
E,15,14.8,15.8,90,-21.160530623257813,1.738534355683705,8
E,15,14.8,15.8,100,-22.861294275721097,2.3090992334450475,8
E,15,14.8,15.8,110,-22.140058064404688,2.9950334560080876,8
E,15,14.8,15.8,120,-21.024010864975786,3.9483313418210924,8
E,15,14.8,15.8,130,-22.459771619839067,3.511694597972073,8
E,15,14.8,15.8,140,-22.723236443296095,3.5590952582265887,8
E,15,14.8,15.8,150,-24.160749532119535,3.3756451101544123,8
E,15,14.8,15.8,160,-24.00918151407891,2.7274070326305577,8
E,15,14.8,15.8,170,-22.66961443383985,2.045531131058773,8
E,15,14.8,15.8,180,-21.25164425490469,2.1751568814301736,8
E,16,15.8,16.8,0,0.0,0.0,8
E,16,15.8,16.8,10,-2.0611139412574895,0.9230587378847231,8
E,16,15.8,16.8,20,-8.341522598140827,1.4076113099762835,8
E,16,15.8,16.8,30,-13.686616120244992,1.8531147668767163,8
E,16,15.8,16.8,40,-18.857551311906665,1.2768073606797603,8
E,16,15.8,16.8,50,-22.024234790365004,2.037996086357964,8
E,16,15.8,16.8,60,-23.611611160990833,2.198553517286896,8
E,16,15.8,16.8,70,-21.67565032777416,2.1623872067923458,8
E,16,15.8,16.8,80,-21.254550376163326,2.6700510209390753,8
E,16,15.8,16.8,90,-21.1394245205275,1.9700391137933735,8
E,16,15.8,16.8,100,-22.48616296685916,3.0119560077906886,8
E,16,15.8,16.8,110,-23.31610997747583,3.2500090382579416,8
E,16,15.8,16.8,120,-21.800579014953335,3.9020339655217264,8
E,16,15.8,16.8,130,-23.58150355856666,3.471977677497943,8
E,16,15.8,16.8,140,-24.51102795901833,4.76683123561482,8
E,16,15.8,16.8,150,-24.302767324534162,3.4784064625815914,8
E,16,15.8,16.8,160,-24.255081055771672,4.216693765699737,8
E,16,15.8,16.8,170,-24.631997705395,4.499532811942844,8
E,16,15.8,16.8,180,-23.94879112145333,3.7446538594070433,8
E,17,16.8,17.8,0,0.0,0.0,8
E,17,16.8,17.8,10,-2.820773812198329,0.8255457201069998,8
E,17,16.8,17.8,20,-8.975764674221665,1.4563561359624948,8
E,17,16.8,17.8,30,-14.47623841900667,1.606486718896996,8
