# Frequency_GHz    Mean_VSWR    SD_VSWR    N_horns
# Ensemble average of VSWR_1.CSV through VSWR_8.CSV; native frequency grid.
 14.49000975    1.32113478    0.00490446  8
 14.58000950    1.31377045    0.00456087  8
 14.67000925    1.28617405    0.00446054  8
 14.76000900    1.31883291    0.01162554  8
 14.85000875    1.37496980    0.01410645  8
 14.94000850    1.36498721    0.01065032  8
 15.03000825    1.37261894    0.00932619  8
 15.12000800    1.44336290    0.01772179  8
 15.21000775    1.45041391    0.02275707  8
 15.30000750    1.36902732    0.01658359  8
 15.39000725    1.35604382    0.01616254  8
 15.48000700    1.39688920    0.03035020  8
 15.57000675    1.35206843    0.03145962  8
 15.66000650    1.27539707    0.01287969  8
 15.75000625    1.29971129    0.01410958  8
 15.84000600    1.33076355    0.02608015  8
 15.93000575    1.29980785    0.02415726  8
 16.02000550    1.26262761    0.01452030  8
 16.11000525    1.25255466    0.02061882  8
 16.20000500    1.23772361    0.02540081  8
 16.29000475    1.20382164    0.02312328  8
 16.38000450    1.15054459    0.01705640  8
 16.47000425    1.14985272    0.01875898  8
 16.56000400    1.18740131    0.02655887  8
 16.65000375    1.19003927    0.02958838  8
 16.74000350    1.16074779    0.02982743  8
 16.83000325    1.17147123    0.03121836  8
 16.92000300    1.16451963    0.03424003  8
 17.01000275    1.12234527    0.02207044  8
 17.10000250    1.11716079    0.01020711  8
 17.19000225    1.16451670    0.00890743  8
 17.28000200    1.19447428    0.00951827  8
 17.37000175    1.21829356    0.00771329  8
 17.46000150    1.25883144    0.01135256  8
 17.55000125    1.25311782    0.01491702  8
 17.64000100    1.22071925    0.00490016  8
 17.73000075    1.20613328    0.00501475  8
 17.82000050    1.19323827    0.00563767  8
 17.91000025    1.17165459    0.00881333  8
 18.00000000    1.17245822    0.01806825  8
